episode,score,epsilon,budget,uncertainty,epistemic,aleatoric
251,20.0,0.05,44680,0.018903776996320752,0.004447053910034387,0.014456723086286366

252,14.0,0.05,44679,0.020656414692920826,0.004885238103302988,0.01577117658961784

253,11.0,0.05,44679,0.02167249840796891,0.006310886636053055,0.015361611771915857

254,17.0,0.05,44679,0.02116500106832887,0.006008567840666472,0.015156433227662396

255,17.0,0.05,44679,0.02227740653859768,0.006098164188161807,0.01617924235043587

256,18.0,0.05,44679,0.023371556106137437,0.006995509380510118,0.01637604672562732

257,16.0,0.05,44679,0.022962662636487757,0.007408148018883749,0.015554514617604008

258,18.0,0.05,44678,0.021988492314826007,0.0073535438955683085,0.014634948419257698

259,17.0,0.05,44678,0.023787031785231817,0.0073984691604478715,0.016388562624783946

260,14.0,0.05,44678,0.02297425444821833,0.006826899930829495,0.016147354517388836

261,19.0,0.05,44678,0.020639800704153624,0.006797742307794159,0.013842058396359465

262,14.0,0.05,44677,0.022740043172296692,0.006992351473171179,0.015747691699125512

263,18.0,0.05,44677,0.02079025204492678,0.0068473579221201225,0.013942894122806658

264,17.0,0.05,44677,0.020590613081824416,0.0065638526300123585,0.014026760451812057

265,19.0,0.05,44677,0.020757351296327154,0.006592351628556501,0.014164999667770654

266,16.0,0.05,44677,0.022112197709444618,0.0070648466378012776,0.01504735107164334

267,18.0,0.05,44677,0.021381081846358885,0.006767463828565339,0.014613618017793548

268,17.0,0.05,44677,0.02195517192835446,0.0064142388243974375,0.015540933103957023

269,17.0,0.05,44677,0.021544977815218056,0.005838578610728926,0.01570639920448913

270,15.0,0.05,44677,0.021357867464504358,0.0057937004946245225,0.015564166969879837

271,19.0,0.05,44677,0.02274886269099195,0.006326948528421123,0.016421914162570828

272,21.0,0.05,44677,0.02126653381505644,0.006555789378423337,0.014710744436633102

273,17.0,0.05,44676,0.0229519023528055,0.007175119124768318,0.015776783228037182

274,20.0,0.05,44675,0.02222527892737041,0.007347081838046935,0.014878197089323477

275,17.0,0.05,44675,0.022125420769126238,0.007224049392080741,0.014901371377045497

276,19.0,0.05,44675,0.023222901248258907,0.007450760378191387,0.01577214087006752

277,19.0,0.05,44675,0.02075827336917801,0.006598654773252537,0.014159618595925471

278,18.0,0.05,44675,0.02255620918627597,0.006650849505736144,0.015905359680539827

279,19.0,0.05,44674,0.022201838523659312,0.006090367781896264,0.016111470741763046

280,18.0,0.05,44674,0.021459341665601647,0.006352181684621889,0.01510715998097976

281,17.0,0.05,44674,0.023074595240929845,0.006895331983333424,0.016179263257596423

282,16.0,0.05,44673,0.022551963604494008,0.006740311192343067,0.01581165241215094

283,18.0,0.05,44673,0.023040785765626084,0.007284206554352698,0.015756579211273387

284,18.0,0.05,44673,0.021207484304279326,0.007014586647277198,0.01419289765700213

285,16.0,0.05,44673,0.022471908564015,0.007084419851286553,0.015387488712728445

286,11.0,0.05,44672,0.023403972293334838,0.0077019403463232375,0.0157020319470116

287,17.0,0.05,44672,0.023110012283990553,0.007634523528288334,0.01547548875570222

288,18.0,0.05,44672,0.022565079508670358,0.007464867254023757,0.015100212254646602

289,17.0,0.05,44672,0.02160015716856151,0.007933294631108166,0.013666862537453346

290,18.0,0.05,44672,0.021173412567806884,0.007432785077426406,0.013740627490380478

291,18.0,0.05,44672,0.022024047287859345,0.007662178136721115,0.014361869151138233

292,19.0,0.05,44672,0.0202578937604585,0.007139634402278716,0.013118259358179785

293,18.0,0.05,44672,0.021488437586229755,0.007454623463806948,0.014033814122422807

294,16.0,0.05,44672,0.02339668298972673,0.00910628333884064,0.014290399650886092

295,17.0,0.05,44672,0.021928929234789275,0.00827028222526872,0.013658647009520552

296,15.0,0.05,44672,0.021790105518358457,0.007399023785166032,0.014391081733192425

297,15.0,0.05,44672,0.022793882030849713,0.007967926950955747,0.014825955079893965

298,18.0,0.05,44672,0.020738205029930897,0.007272107530584249,0.013466097499346649

299,18.0,0.05,44672,0.019556598040330258,0.006261200857916226,0.013295397182414032

